Date,Precip,Temp,AtmPressure,RelHumidity,Visibility,StageHeight,Wx,Wy
1980-01-01,0.0,29.5,29.04,85.56,3.63,5.0,2.844075898848595,-6.319504116747496
1980-01-02,0.0,27.67,29.15,80.1,6.82,4.95,-6.871628619001554,-8.42244739505797
1980-01-03,0.0,24.33,29.3,78.65,11.99,4.91,6.818191590971434,3.870124472004282
1980-01-04,0.03,27.0,29.14,87.27,5.22,4.85,-7.51699490408285,3.566116601009069
1980-01-05,0.03,26.83,29.12,85.96,5.61,4.85,-8.774203008525228,1.911481510553222
1980-01-06,0.11,21.67,28.65,82.73,4.46,4.8,-13.5787788957321,-13.588261982344193
1980-01-07,0.0,9.17,28.98,68.42,13.04,4.39,4.141966587106216,-15.754625123794462
1980-01-08,0.02,5.83,29.33,61.29,11.97,4.35,-3.8761861167676535,-5.635670429343584
1980-01-09,0.0,1.67,29.41,59.65,12.07,4.35,2.9144905513277197,6.188000066759974
1980-01-10,0.0,29.17,28.7,79.4,11.25,4.4,-17.001126790515098,3.36014699869362
1980-01-11,0.0,31.5,28.9,58.21,9.81,4.4,8.487503559470364,-20.89173959554297
1980-01-12,0.0,19.5,29.25,47.79,17.6,5.09,-11.882389514652814,3.4746538564393554
1980-01-13,0.01,40.0,28.79,51.85,18.37,4.8,-12.528577461797592,-4.639433886126344
1980-01-14,0.0,34.5,29.05,72.54,16.61,4.85,-3.177154965998865,8.17426365625851
1980-01-15,0.08,42.33,28.93,88.25,5.25,4.75,-6.990901456712036,7.887895588973115
1980-01-16,1.03,38.67,28.77,98.56,2.53,4.89,-11.786422089018062,-2.458018376560085
1980-01-17,0.0,30.0,29.03,89.62,7.44,5.66,5.818462145427952,-9.733503904669787
1980-01-18,0.0,28.17,29.23,92.52,3.5,5.85,-4.468808244507943,-0.8008450997651418
1980-01-19,0.07,24.83,29.47,89.19,5.35,6.02,-5.76982073016831,-8.032513226986934
1980-01-20,0.0,24.33,29.48,72.73,16.84,5.92,3.0602363574725664,-6.0164319522789445
1980-01-21,0.0,27.33,29.04,79.67,15.49,5.82,-6.746506744585854,-6.136696729125334
1980-01-22,0.0,24.0,28.91,70.0,15.06,5.72,10.540057026923952,-13.73110694260266
1980-01-23,0.01,15.0,28.91,71.15,17.66,5.4,7.472347192609613,-6.402314224801782
1980-01-24,0.04,31.83,28.47,82.56,15.43,4.95,-1.8141285670154952,-11.04196710474806
1980-01-25,0.0,27.33,28.88,75.96,13.63,5.16,11.741727363765582,-3.7630756722392067
1980-01-26,0.0,11.5,29.29,58.58,19.83,5.04,-7.99939205598978,-10.209340171361106
1980-01-27,0.0,9.83,29.3,62.18,13.94,4.94,8.21672941083268,-5.540167667964321
1980-01-28,0.0,10.5,29.34,57.9,15.62,4.9,7.348857024237511,-6.238902182060158
1980-01-29,0.0,7.67,29.46,47.96,14.99,4.7,-4.344699905934651,-6.357167822810047
1980-01-30,0.06,5.83,29.45,69.02,5.46,4.65,8.239991357034501,4.333433100440888
1980-01-31,0.0,2.17,29.59,62.04,14.04,4.73,6.397417323021446,-7.251341365230651
1980-02-01,0.0,3.5,29.52,60.75,12.78,4.85,-5.177357420848488,0.3620360987320115
1980-02-02,0.0,15.67,29.35,64.25,10.17,4.87,-3.1829579560316468,8.567868967843454
1980-02-03,0.0,14.5,29.45,66.85,8.84,4.98,1.8450773763375032,6.5552871390449035
1980-02-04,0.14,15.0,29.35,72.02,6.67,5.0,-7.973738966656709,7.606568667383499
1980-02-05,0.14,21.33,29.06,84.79,3.66,4.72,-10.823975429866241,-9.329826144878153
1980-02-06,0.0,14.33,29.27,82.48,10.25,4.69,9.209057284351266,-3.1099298920613814
1980-02-07,0.0,13.33,29.49,86.81,5.27,4.66,-4.5553393113178755,1.9111472362855741
1980-02-08,0.03,17.5,29.51,80.23,5.82,4.69,-3.114823923549999,5.682277001808394
1980-02-09,0.0,9.67,29.31,80.06,3.59,4.7,2.9074289380833642,-4.844518239205571
1980-02-10,0.0,16.83,28.96,73.69,12.53,4.75,-3.6725157866092966,-11.25603073010666
1980-02-11,0.0,14.83,29.02,77.04,15.99,4.81,6.431689141979989,-10.962548735624244
1980-02-12,0.0,12.17,29.14,78.44,13.5,4.75,-8.249433901298044,-4.1400169453897835
1980-02-13,0.0,24.67,29.06,76.9,9.9,4.7,-7.363440217802794,-4.246145093946312
1980-02-14,0.09,23.17,29.26,81.99,4.96,4.5,6.690027098162127,7.975690404338451
1980-02-15,0.02,16.33,29.18,82.29,7.74,4.52,-8.30481528959288,13.264710438066274
1980-02-16,0.0,6.67,29.2,74.82,19.29,4.53,7.279750833842425,-10.11221181528406
1980-02-17,0.0,12.17,29.09,75.9,18.74,4.96,-4.58861116600866,-6.9881505111997
1980-02-18,0.0,23.0,28.79,70.58,15.09,4.61,-15.538826670585523,-2.172778336945577
1980-02-19,0.0,35.83,28.7,74.35,11.11,4.45,-10.278406986079192,0.48831324835444534
1980-02-20,0.0,36.17,28.75,94.46,2.12,4.45,-4.0151356628479835,3.9608440525885737
1980-02-21,0.17,37.0,28.68,96.67,1.24,4.5,0.7454811158498394,12.547874637001728
1980-02-22,0.0,37.33,28.83,94.9,2.17,5.3,4.809154921466403,-6.204395936860854
1980-02-23,0.0,31.83,29.08,79.12,10.74,5.95,8.230935953401723,-9.750348369724996
1980-02-24,0.02,31.33,29.14,78.56,12.18,6.3,4.862690962462278,-8.137852087841587
1980-02-25,0.11,18.17,29.33,76.15,8.75,6.25,15.153128370921987,-9.108518022947484
1980-02-26,0.0,19.67,29.19,76.65,16.13,6.02,-9.443803018846337,-7.896244964616334
1980-02-27,0.02,26.83,29.05,72.9,13.44,5.85,-6.674736064761505,-8.260284405864732
1980-02-28,0.0,22.0,29.08,74.17,15.73,5.5,11.776169529940692,5.692822779790044
